#OTU ID	Acidaminococcus_intestini	Actinobaculum_sp_oral_taxon_183	Actinomyces_graevenitzii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_448	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_inops	Alistipes_onderdonkii	Alistipes_shahii	Anaeromassilibacillus_sp_An250	Anaerostipes_hadrus	Asaccharobacter_celatus	Atopobium_parvulum	Atopobium_rimae	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Clostridium_aldenense	Clostridium_bolteae	Clostridium_bolteae_CAG_59	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_sp_CAG_58	Clostridium_spiroforme	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacillus_cateniformis	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Enterococcus_faecalis	Enterococcus_faecium	Enterorhabdus_caecimuris	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Fusobacterium_nucleatum	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemania_filiformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Janibacter_indicus	Klebsiella_oxytoca	Klebsiella_pneumoniae	Klebsiella_quasipneumoniae	Klebsiella_variicola	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_paragasseri	Lactobacillus_rhamnosus	Lactobacillus_rogosae	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_lactis	Lawsonibacter_asaccharolyticus	Megasphaera_micronuciformis	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Prevotella_sp_885	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_sp_CAG_471	Rothia_dentocariosa	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Scardovia_wiggsiae	Sellimonas_intestinalis	Slackia_isoflavoniconvertens	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_lutetiensis	Streptococcus_mitis	Streptococcus_mutans	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_thermophilus	Streptococcus_vestibularis	Turicibacter_sanguinis	Turicimonas_muris	Tyzzerella_nexilis	Veillonella_atypica	Veillonella_dispar	Veillonella_infantium	Veillonella_parvula	Veillonella_sp_T11011_6	[Collinsella]_massiliensis
Alistipes_finegoldii	0.0198	0.0099	0.0099	0.0099	0.0198	0.0099	0.0396	0.0099	0.0099	0.0099	0.0297	0.0099	0.5941	0.1584	1.0000	0.0099	0.0099	0.2772	0.8911	0.2277	0.0099	0.0297	0.3168	0.5347	0.8515	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5347	0.0693	0.1386	0.0396	0.4158	0.0297	0.0099	0.0297	0.3861	0.1485	0.5644	0.2871	0.1089	0.0099	0.2970	0.1485	0.0099	0.6634	0.0099	0.9406	0.0099	0.9505	0.4158	0.0297	0.6634	0.1089	0.0297	0.0594	0.0693	0.0396	0.0099	0.6733	0.1584	0.1881	0.3465	0.1485	0.0297	0.0297	0.4752	0.8614	0.2970	0.0495	0.0891	0.0099	0.6436	0.0297	0.0099	0.3267	0.0693	0.5248	0.0099	0.0099	0.0198	0.0099	0.0594	0.0297	0.1188	0.6436	0.5644	0.7030	0.0099	0.0396	0.0198	0.0297	0.0297	0.0693	0.0990	0.0594	0.0099	0.0099	0.0297	0.4554	0.0099	0.5644	0.1980	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.5644	0.0990	0.0198	0.0792	0.0495	0.6238	0.0990	0.0198	0.0099	0.1782	0.8614	0.0099	0.0198	0.0099	0.0297	0.0099	0.0099	0.0891	0.4059	0.1980	0.0099	0.3267	0.0099	0.8416	0.0099	0.0198	0.0990	0.0198	0.0198	0.0693	0.9307	0.4257	0.0198	0.0099	0.0099	0.0099	0.0396	0.0099	0.6337
Alistipes_inops	0.0792	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.5743	0.0198	0.0099	0.0099	0.0297	0.0594	0.9802	0.0099	1.0000	0.0099	0.0099	0.0099	0.0495	0.0099	0.0099	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.2475	0.0099	0.0099	0.0099	0.0792	0.0099	0.0099	0.1287	0.1089	0.0099	0.6931	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7426	0.8614	0.0594	0.0099	0.0099	0.0099	0.0099	0.0297	0.0198	0.6040	0.0396	0.1980	0.0099	0.4752	0.0396	0.0099	0.0594	0.9703	0.0396	0.0891	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.1980	0.0099	0.0099	0.0594	0.0198	0.0297	0.0099	0.0099	1.0000	0.2277	0.0099	0.0099	0.0099	0.3168	0.9703	0.0693	0.0198	0.0693	0.0297	0.0099	0.0099	0.0198	0.0099	0.0099	0.2178	0.0099	0.0297	0.1980	0.1386	0.0297	0.0891	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.3564	0.0099	0.0099	0.8317	0.0099	0.0099	0.0099	0.0099	0.0099	0.1287	0.0099	0.0099	0.0099	0.1188	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0198	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099	0.5248	0.0099	0.0495	0.6436	0.0099	0.1386	0.0198	0.0297	0.0099	0.0099	0.0099
Alistipes_onderdonkii	0.0693	0.0099	0.0099	0.0198	0.0099	0.0099	0.0297	0.0297	0.0099	0.0099	0.0495	0.0099	0.2178	0.5842	0.0099	0.0099	1.0000	0.0297	0.3762	0.6535	0.0099	0.0198	0.0099	0.7327	0.1089	0.0099	0.0099	0.0099	0.0099	0.0594	0.0099	0.0099	0.2970	0.2475	0.0396	0.0099	0.1683	0.0297	0.0099	0.0198	0.0099	0.0099	0.1287	0.5644	0.0297	0.0099	0.0594	0.5644	0.0297	0.9703	0.0099	0.0198	0.0099	0.1485	0.9901	0.0594	0.4653	0.0495	0.0099	0.0099	0.1485	0.0198	0.0099	0.2871	0.0198	0.0099	0.1584	0.0198	0.0099	0.0099	0.0099	0.1584	0.0990	0.0099	0.5743	0.0198	0.4950	0.0297	0.0099	0.3168	0.0099	0.6139	0.0396	0.0099	0.0297	0.0099	0.0099	0.0099	0.1980	0.3465	0.0198	0.8020	0.0099	0.0594	0.0693	0.0693	0.0297	0.0693	0.0297	0.0495	0.0396	0.0099	0.0396	0.4059	0.4752	0.7921	0.3564	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.6931	0.3069	0.2673	0.0099	0.0099	0.0099	0.0495	0.9604	0.0198	0.0099	0.0099	0.9307	0.0099	0.4158	0.0099	0.1485	0.0099	0.0099	0.0099	0.0297	0.0198	0.0297	0.0396	0.0099	0.5941	0.0099	0.0099	0.0099	0.0099	0.0396	0.0198	0.2871	0.5149	0.0099	0.0198	0.0099	0.0099	0.0198	0.0099	0.1386
Alistipes_shahii	0.0990	0.9901	0.4653	0.1683	0.4950	0.2277	0.5743	0.0099	0.0099	0.3465	0.8218	0.8515	0.7921	0.1485	0.2772	0.0099	0.0297	1.0000	0.0099	0.7822	0.9802	0.4653	0.5050	0.0396	0.9604	0.0198	0.0099	0.0099	0.3267	0.0594	0.0099	0.0099	0.0099	0.0099	0.7129	0.0099	0.8614	0.0297	0.9505	0.5446	0.2871	0.5644	0.5347	0.0495	0.5644	0.3762	0.0198	0.9901	0.0396	0.0693	0.0099	0.0099	0.0198	0.1188	0.4653	0.3564	0.9307	0.0099	0.7921	0.0099	0.0099	0.4059	0.0099	0.2277	0.7327	0.5050	0.6040	0.0297	0.4455	0.6931	0.0495	0.5050	1.0000	0.6337	0.0099	0.0495	0.5644	0.0198	0.0990	0.0396	0.0099	0.3366	0.7921	0.1089	0.0891	0.0495	0.2079	0.4554	0.2970	0.2871	0.2277	0.0594	0.0099	0.2277	0.2277	0.5248	0.7327	0.9208	0.0891	0.8812	0.3960	0.9109	0.6139	0.0099	0.0198	0.6733	0.0198	0.0099	0.4851	0.0099	0.6832	0.7228	0.9901	0.9505	0.0099	0.0891	0.0792	0.9406	0.0099	0.0297	0.0099	0.1683	0.0693	0.0099	0.6040	0.0099	0.9901	0.6436	0.4851	0.8020	0.0693	0.4455	0.0594	0.1188	0.1881	0.4851	0.0099	0.9406	0.3861	0.0594	0.6436	0.0891	0.6931	0.2376	0.8812	0.8614	0.2376	0.1881	0.9505	0.0099	0.0396	0.6634	0.3465	0.7228	0.8515	0.5743	0.6634	0.0396
Anaeromassilibacillus_sp_An250	0.1386	0.7228	0.6436	0.6733	0.3168	0.9505	0.0594	0.1782	0.1584	0.8020	0.2772	0.0198	0.4158	0.0693	0.8911	0.0099	0.3762	0.0099	1.0000	0.9802	0.0198	0.5545	0.8911	0.0198	0.1683	0.6832	0.1683	0.6634	0.7426	0.0495	0.3267	0.0396	0.0099	0.0396	0.1386	0.2871	0.4455	0.5941	0.8911	0.7525	0.2871	0.1089	0.3069	0.0693	0.4455	0.0693	0.1584	0.0099	0.0297	0.0792	0.6931	0.0297	0.1287	0.3663	0.6337	0.5248	0.5347	0.3861	0.7327	0.1188	0.8911	0.9109	0.0792	0.3960	0.0099	0.5743	0.6238	0.3861	0.7030	0.5644	0.8713	0.9901	0.2376	0.4554	0.3069	0.7624	0.5644	0.8911	0.1782	0.0396	0.0594	0.8317	0.9109	0.7921	0.3465	0.4455	0.1485	0.8218	0.2871	0.0495	0.3168	0.0990	0.5347	0.0891	0.7525	0.2673	0.1386	0.4158	0.7426	0.4554	0.2871	0.8218	0.7426	0.6634	0.1782	0.9406	0.4257	0.6931	0.5941	0.0891	0.6040	0.6733	0.1782	0.3366	0.0693	0.3267	0.8713	0.2673	0.0297	0.0792	0.0099	0.0594	0.7822	0.1683	0.9307	0.0495	0.9406	0.6337	0.1386	0.0198	0.0297	0.2178	0.0297	0.1287	0.2970	0.8911	0.0099	0.7822	0.7624	0.8713	0.4158	0.5248	0.5248	0.5545	0.7624	0.1881	0.8911	0.8614	0.7228	0.0099	0.4059	0.0990	0.6634	0.2772	0.9703	0.2475	0.9109	0.0594
Anaerostipes_hadrus	0.0099	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099	0.1287	0.0099	0.0099	0.0099	0.9208	0.0099	0.0099	0.2277	0.0495	0.6535	0.7822	0.9802	1.0000	0.7030	0.0099	0.0099	0.8416	0.0099	0.0198	0.0099	0.2475	0.0198	0.0396	0.4455	0.3366	0.5545	0.7921	0.0099	0.0396	0.0099	0.0099	0.0693	0.0099	0.0099	0.5941	0.0099	0.0099	0.0099	0.0792	0.0099	0.4851	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0891	0.1188	0.0693	0.0099	0.1188	0.4455	0.0099	0.0099	0.0099	0.6337	0.0297	0.0099	0.0099	0.0099	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0891	0.1584	0.0099	0.0099	0.4356	0.0198	0.0594	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0396	0.0099	0.0792	0.0099	0.0099	0.6931	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.5446	0.0099	0.0099	0.0099	0.4356	0.0099	0.3267	0.1287	0.5347	0.0198	0.9208	0.0099	0.2772	0.7327	0.0099	0.0099	0.8911	0.1485	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.2574	0.0099	0.1188	0.0099	0.0198	0.1188	0.0198	0.0099	0.0099	0.0792	0.0099	0.0099	0.0099	0.0099	0.0099	0.1089	0.0198	0.4356	0.0099	0.6040	0.2178	0.6040	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099
Asaccharobacter_celatus	0.0297	0.0198	0.0099	0.0990	0.0099	0.0099	0.0891	0.1089	0.0099	0.0297	0.8713	0.0099	0.1386	0.0495	0.0099	0.0099	0.0099	0.9802	0.0198	0.7030	1.0000	0.0297	0.0792	0.7327	0.0099	0.0198	0.0099	0.0099	0.0099	0.1188	0.1485	0.0099	0.5743	0.2178	0.0099	0.5941	0.2673	0.0099	0.0099	0.2673	0.0099	0.0099	0.0099	0.4653	0.1089	0.0099	0.0099	0.0099	0.0297	0.7030	0.0099	0.2475	0.0099	0.5743	0.0099	0.0198	0.0198	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.3861	0.1485	0.0891	0.0792	0.0198	0.0792	0.0495	0.0396	0.0594	0.8317	0.0099	0.0099	0.0495	0.1881	0.0099	0.0099	0.2673	0.0099	0.2871	0.0099	0.0099	0.0594	0.0099	0.0099	0.5248	0.0099	0.2277	0.0396	0.8218	0.0099	0.0099	0.0198	0.0297	0.0495	0.0396	0.6337	0.0693	0.0297	0.0198	0.1683	0.8812	0.0297	0.8515	0.2772	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.8713	0.0099	0.0099	0.1089	0.0792	0.3663	0.0297	0.0396	0.4950	0.9703	0.3861	0.4356	0.3069	0.0792	0.5050	0.0099	0.0396	0.0099	0.0396	0.0099	0.0099	0.0099	0.5347	0.2277	0.0099	0.1386	0.0099	0.9406	0.0099	0.0792	0.1584	0.0099	0.1485	0.3465	0.6832	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.1980
Atopobium_parvulum	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.2574	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.3069	0.0297	0.0099	0.0198	0.4653	0.5545	0.0099	0.0297	1.0000	0.0099	0.2178	0.0099	0.0198	0.0198	0.0099	0.0099	0.7129	0.0693	0.0099	0.7129	0.0891	0.0099	0.9901	0.0693	0.0099	0.9604	0.3069	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0297	0.1089	0.0891	0.0099	0.0594	0.0099	0.0099	0.0792	0.7921	0.0099	0.4752	0.0099	0.8020	0.9406	0.0099	0.0099	0.5347	0.0792	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.2574	0.0099	0.0099	0.0099	0.0099	0.0099	0.3069	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0198	0.0297	0.1188	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0198	0.0396	0.0099	0.0297	0.4851	0.0297	0.0099	0.0495	0.0099	1.0000	0.0099	0.0099	0.0198	0.0099	0.0099	0.2475	0.0198	0.0198	0.2871	0.5248	0.7426	0.0198	0.0099	0.0099	0.0099	0.2574	0.0099	0.0099	0.0099	0.1485	0.0099	0.0099	0.0099	0.0099	0.0099	0.6931	0.0099	0.0099	0.0099	0.0198	0.3465	0.0099	0.6436	0.0099	0.0099	0.0099	0.0099	0.2376	0.0099	0.0198	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198
Atopobium_rimae	0.0198	0.0297	0.0198	0.0099	0.0099	0.0099	0.1584	0.1287	0.0099	0.0099	0.0099	0.0792	0.0099	0.4554	0.3168	0.0099	0.0099	0.5050	0.8911	0.0099	0.0792	0.0099	1.0000	0.5050	0.0099	0.0495	0.0099	0.0099	0.0099	0.7426	0.0396	0.0099	0.6436	0.9307	0.0099	0.6733	0.1287	0.0099	0.6634	0.0297	0.0099	0.0099	0.0594	0.0198	0.0198	0.0198	0.0594	0.5248	0.0099	0.0099	0.4554	0.0099	0.0099	0.0693	0.8812	0.0099	0.3069	0.0099	0.6832	0.2673	0.0099	0.0099	0.5545	0.5149	0.6634	0.0099	0.0099	0.2376	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.2772	0.0099	0.0099	0.0099	0.0099	0.0099	0.4257	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0099	0.0297	0.4554	0.1782	0.0198	0.0099	0.0099	0.0099	0.0099	0.2475	0.0099	0.0396	0.0099	0.3465	0.0198	0.0099	0.6040	0.4257	0.0099	0.7723	0.0099	0.0099	0.1584	0.0495	0.0099	0.1089	0.0693	0.1188	0.4257	0.6436	0.2475	0.0099	0.0099	0.0198	0.0099	0.8020	0.0099	0.0099	0.0099	0.0792	0.0594	0.0099	0.0099	0.0099	0.0396	0.9109	0.0198	0.0099	0.0099	0.0495	0.0396	0.0099	0.1089	0.0099	0.0099	0.0099	0.0099	0.4752	0.0099	0.0198	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198
Bacteroides_dorei	0.6436	0.2772	0.1287	0.2178	0.7426	0.4851	0.0297	0.2277	0.0495	0.1881	0.8317	0.9703	0.6139	0.0495	0.5347	0.0495	0.7327	0.0396	0.0198	0.8416	0.7327	0.2178	0.5050	1.0000	0.1881	0.0099	0.0099	0.0099	0.0099	0.0099	0.0396	0.4158	0.1881	0.0495	0.1089	0.4356	0.2574	0.6436	0.1287	0.7129	0.6337	0.1089	0.9901	0.1782	0.5842	0.0990	0.3663	0.9802	0.0990	0.9604	0.0198	0.0693	0.2673	0.1485	0.4356	0.8911	0.8020	0.8317	0.5446	0.6040	0.9109	0.2970	0.3564	0.5941	0.2475	0.3267	0.7822	0.1485	0.9901	0.5941	0.7426	0.9901	0.5941	1.0000	0.6040	0.7426	0.2475	0.5347	0.6931	0.0792	0.8020	0.1980	0.6733	0.5347	0.6139	0.1584	0.0099	0.8812	0.5050	0.0693	0.1386	0.0198	0.0990	0.0891	0.9307	0.5446	0.5743	0.5644	1.0000	0.3663	0.4950	0.7624	0.9901	0.6634	0.6436	0.8317	0.3465	0.8416	0.9505	0.2871	0.0198	0.7723	0.9406	0.0099	0.9109	0.2178	0.3069	0.1980	0.0297	0.0396	0.0495	0.8317	0.3861	0.7030	0.5743	0.1188	0.9901	0.2871	0.2277	0.0198	0.6535	0.0990	0.4455	0.9703	0.0198	0.1287	0.0198	0.9604	0.7525	0.1683	0.6535	0.1485	0.8317	0.1584	0.1188	0.1485	0.0792	0.3960	0.2277	0.0693	0.5248	0.1683	0.9703	0.6238	0.5149	0.5545	0.3762	0.4653
Bacteroides_fragilis	0.0099	0.1485	0.8515	0.0099	0.0099	0.0099	0.0099	0.1584	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.8515	0.0099	0.1089	0.9604	0.1683	0.0099	0.0099	0.0099	0.0099	0.1881	1.0000	0.0198	0.0099	0.0198	0.0099	0.0099	0.5941	0.0099	0.7723	0.0891	0.0099	0.2970	0.0099	0.0099	0.5743	0.0099	0.0099	0.8416	0.4158	0.0099	0.0099	0.2475	0.0099	0.0099	0.1089	0.0099	0.0099	0.0297	0.7228	0.0099	0.0099	0.5545	0.6436	0.0099	0.0099	1.0000	0.0099	0.0099	0.0594	0.2871	0.2673	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0594	0.0099	0.0099	0.5743	0.0099	0.5248	0.0099	0.0099	0.0198	0.0198	0.0099	0.0099	0.0198	0.4752	0.0099	0.0396	0.0099	0.0693	0.1188	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1287	0.0099	0.0099	0.0099	0.3663	0.0099	0.0099	0.3663	0.0297	0.0495	0.7228	0.0099	0.0396	0.2772	0.3564	0.0099	0.7723	0.0792	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7327	0.0099	0.7525	0.0198	0.0198	0.2475	0.0495	0.0099	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0297	0.0099	0.4455	0.2574	0.0990	0.0198	0.1089	0.0297	0.0396	0.0594	0.0099
Bacteroides_ovatus	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0693	0.0099	0.0099	0.0099	0.0099	0.0495	0.5149	0.8317	0.0099	0.0099	0.0099	0.0198	0.6832	0.0198	0.0198	0.0198	0.0495	0.0099	0.0198	1.0000	0.0099	0.0099	0.0099	0.1485	0.0099	0.0099	0.0297	0.3168	0.1683	0.0099	0.2673	0.0297	0.0099	0.1881	0.9802	0.0693	0.5545	0.1287	0.3267	0.0099	0.0297	0.5743	0.0891	0.6436	0.0099	0.3564	0.0099	0.2673	0.1683	0.0396	0.0693	0.2475	0.3663	0.0099	0.9208	0.7030	0.0198	0.4752	0.2673	0.1089	0.0693	0.0099	0.1881	0.0792	0.0099	0.0198	0.1188	0.0495	0.0297	0.1980	0.2079	0.0495	0.0099	0.6139	0.1881	0.0297	0.2772	0.0099	0.0990	0.0099	0.0099	0.3663	0.8812	0.0891	0.3366	0.7426	0.9208	0.8713	0.0396	0.0792	0.0198	0.0099	0.2871	0.0396	0.0693	0.0099	0.0099	0.1485	0.0594	0.0297	0.4950	0.1386	0.0198	0.0396	0.0099	0.0297	0.0693	0.0099	0.0099	0.0891	0.0099	0.0990	0.4356	0.8614	0.0594	0.0099	0.0099	0.1089	0.0099	0.0198	0.0099	0.0099	0.0693	0.5347	0.0693	0.0495	0.0099	0.4950	0.8317	0.0099	0.0099	0.0099	0.0891	0.0198	0.0198	0.0198	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.3465	0.1683	0.1386	0.0792	0.0099	0.0693	0.3960	0.0693	0.0594
Bacteroides_stercoris	0.0297	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.4752	0.0099	0.0099	0.0099	0.0099	0.1386	1.0000	0.0099	0.0099	0.0099	0.0099	0.1683	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.7228	0.0099	0.0099	0.0099	0.5248	0.0099	0.0099	0.2871	0.0099	0.1287	0.2970	0.0099	0.7327	0.4158	0.0495	0.0396	0.0099	0.0198	0.4653	0.1584	0.0198	0.0297	0.4356	0.0099	0.0099	0.0297	0.3168	0.1287	0.0297	0.1980	0.0099	0.2673	0.3366	0.0495	0.4257	0.9802	0.2079	0.0198	0.0297	0.0198	0.0099	0.0099	0.0099	0.0495	0.0099	0.0297	0.0297	0.0099	0.0297	0.0198	0.4158	0.1584	0.0099	0.0594	0.0099	0.0891	0.0099	0.0198	0.3663	0.5050	0.0099	0.1980	0.4059	0.7327	0.9010	0.0099	0.0198	0.0198	0.0099	0.1782	0.0099	0.0792	0.0099	0.0099	0.0792	0.0198	0.0099	0.1188	0.0198	0.0297	0.4950	0.0099	0.0099	0.2178	0.0099	0.0099	0.0495	0.0099	0.9109	0.0099	0.1386	0.1089	0.0099	0.0099	0.8317	0.0099	0.0099	0.0099	0.0099	0.0099	0.9307	0.0495	0.0099	0.0099	0.2079	0.2079	0.0099	0.0099	0.0099	0.0099	0.0198	0.0693	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5644	0.0099	0.4851	0.6535	0.1089	0.0297	0.0099	0.0198	0.0297	0.0198	0.0099
Bacteroides_thetaiotaomicron	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.1980	0.1089	0.0099	0.0099	0.0297	0.0198	0.1386	0.2574	0.0099	0.0099	0.0099	0.0099	0.6634	0.2475	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	1.0000	0.0099	0.0396	0.0099	0.0099	0.1584	0.3960	0.0693	0.0099	0.9901	0.0297	0.0099	0.1089	0.0099	0.4752	0.2178	0.1089	0.1188	0.0099	0.0099	0.4356	0.0099	0.7030	0.0099	0.0990	0.0099	0.0297	0.5545	0.0099	0.8218	0.0594	0.7723	0.0099	0.1287	0.0099	0.0099	0.0099	0.0198	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0198	0.9109	0.5149	0.0594	0.0495	0.0099	0.3168	0.0099	0.4257	0.1089	0.0099	0.0099	0.0099	0.0099	0.1089	0.1386	0.0891	0.0693	0.3960	0.0792	0.0396	0.0198	0.0099	0.0099	0.0099	0.0297	0.0693	0.0198	0.0099	0.0099	0.3861	0.6436	0.0990	0.0792	0.5050	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.9703	0.8812	0.9802	0.0099	0.0099	0.0693	0.0396	0.3960	0.0099	0.0099	0.2079	0.1584	0.0099	0.6040	0.0099	0.1386	0.2574	0.0099	0.0099	0.0099	0.0594	0.0099	0.0297	0.0099	0.2376	0.0099	0.0099	0.0198	0.0099	0.0396	0.0099	0.9109	0.1980	0.0099	0.0297	0.0099	0.0099	0.0396	0.0099	0.0495
